record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
MID.B.064,Deux Femmes Enceintes,Charles Leplae,1903-06-04,1961-09-19,cm,hoogte,220,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1903-06-04,production.period.lref,20ste eeuw (derde kwart),1952,1953,http://middelheimmuseum.be/collection/work/id/MID_B_064,https://creativecommons.org/publicdomain/zero/1.0/
,Two pregnant women,,,,cm,breedte,141,brons,,beeldengroep,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,68,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Twee zwangere vrouwen,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.474,Plastik,Bernd Lohaus,1940,2010-11-05,cm,hoogte,113,wood,Middelheimmuseum (Antwerpen),constructie (beeldhouwwerk),1940,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_474,https://creativecommons.org/publicdomain/zero/1.0/
,Untitled,,,,cm,lengte,1230,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Sans titre,,,,cm,breedte,786,iron,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,"Middelheim, 1993",,,,m,lengte,12.20,ijzer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,40,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,lengte,8,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.053,The Deposition,Giacomo Manzù,1908-12-22,1991-01-17,cm,hoogte,149,bronze,Middelheimmuseum (Antwerpen),relief (sculpture),1908-12-22,production.period.lref,20ste eeuw (derde kwart),1950,1950,http://middelheimmuseum.be/collection/work/id/MID_B_053,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,131,brons,,reliëf (object),,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,La déposition,,,,cm,diepte,29,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Graflegging,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.070,Miracolo,Marino Marini,1901-02-27,1980-08-06,cm,hoogte,165,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1901-02-27,production.period.lref,20ste eeuw (derde kwart),1951,1952,http://middelheimmuseum.be/collection/work/id/MID_B_070,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,92,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.012,Judith,Marino Marini,1901-02-27,1980-08-06,cm,hoogte,137,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1901-02-27,production.period.lref,20ste eeuw (tweede kwart),1945,1945,http://middelheimmuseum.be/collection/work/id/MID_B_012,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,54,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,66,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.056,Heroic Torso,Marcello Mascherini,1906-09-14,1983,cm,hoogte,163,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1906-09-14,production.period.lref,20ste eeuw (derde kwart),1952,1952,http://middelheimmuseum.be/collection/work/id/MID_B_056,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,54,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Torse héroïque,,,,cm,diepte,42,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Heroïscher torso,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.328,Mouvement,Marcel Mazy,1931-09-20,2014-05,cm,hoogte,30,roestvrij staal,Middelheimmuseum (Antwerpen),sculpture,1931-09-20,production.period.lref,20ste eeuw (vierde kwart),1975,1975,http://middelheimmuseum.be/collection/work/id/MID_B_328,https://creativecommons.org/publicdomain/zero/1.0/
,Movement,,,,cm,breedte,202,,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,bewegung,,,,cm,diepte,65,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Beweging,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.KM.0684,De Buildrager,Constantin Meunier,1831,1905,cm,hoogte,220,bronze,Koninklijk Museum voor Schone Kunsten (Antwerpen),standbeeld,1831,production.period.lref,19de eeuw (vierde kwart),1898,,http://middelheimmuseum.be/collection/work/id/MID_LB_KM_0684,https://creativecommons.org/publicdomain/zero/1.0/
,The docker,,,,cm,breedte,119,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Le débardeur,,,,cm,diepte,90,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De buildrager,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.475,Untitled,Matt Mullican,1951,,cm,hoogte,16,beton,Middelheimmuseum (Antwerpen),installatie,1951,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_475,https://creativecommons.org/publicdomain/zero/1.0/
,Untitled,,,,cm,lengte,143,botanical material,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Sans titre,,,,cm,breedte,60,plantaardig materiaal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Zonder titel,,,,cm,hoogte,23,rock (inorganic material),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,60,gesteente (materiaal),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,43,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,12,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,250,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,12,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,250,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,60,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,8,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,81,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,52,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,8,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,81,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,52,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,8,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,110,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,30,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,40,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,103,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,8,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,30,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,970,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,400,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.476.2-2,Two Figures for Middelheim,Juan Muñoz,1953-06-16,2001-08-28,cm,hoogte,130,bronze,Middelheimmuseum (Antwerpen),sculpture,1953-06-16,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_476_2-2,https://creativecommons.org/publicdomain/zero/1.0/
,,"Bronces Ibericos, S.L.",,,cm,breedte,70,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Deux figures pour Middelheim,,,,cm,diepte,80,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Eén van twee figuren voor Middelheim: rechte figuur,,,,cm,hoogte,170,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,70,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,70,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.476.1-2,Zwei Figuren für Middelheim,Juan Muñoz,1953-06-16,2001-08-28,cm,hoogte,130,bronze,Middelheimmuseum (Antwerpen),sculpture,1953-06-16,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_476_1-2,https://creativecommons.org/publicdomain/zero/1.0/
,Two figures for Middelheim,"Bronces Ibericos, S.L.",,,cm,breedte,70,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Deux figures pour Middelheim,,,,cm,diepte,80,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Eén van twee figuren voor Middelheim: gebogen figuur,,,,cm,hoogte,170,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,70,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,70,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.546,Coin Punitif,Celçuk Mutlu,,,,,,,Middelheimmuseum (Antwerpen),installatie,,,,,,http://middelheimmuseum.be/collection/work/id/MID_B_546,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.620,Diamond Shaped Room with Yellow Light 1986-1990/2018,Bruce Nauman,1941,,cm,hoogte,450,beton,Middelheimmuseum (Antwerpen),architecturale sculptuur,1941,production.period.lref,20ste eeuw (vierde kwart),1986,1990,http://middelheimmuseum.be/collection/work/id/MID_B_620,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,570,LED lampen,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,1100,elektriciteitsbekabeling,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.435,Sun Disk/ Moon Shadow V,Louise Nevelson,1900,1988,cm,hoogte,255,aluminium,Middelheimmuseum (Antwerpen),sculpture,1900,production.period.lref,20ste eeuw (vierde kwart),1976,1976,http://middelheimmuseum.be/collection/work/id/MID_B_435,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,195,paint (coating),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,230,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.510,Shouting is breathing in circumstances,Honoré δ'O,1961,,cm,hoogte,350,metal,Middelheimmuseum (Antwerpen),installatie,1961,production.period.lref,21ste eeuw (eerste kwart),2006,2006,http://middelheimmuseum.be/collection/work/id/MID_B_510,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,250,metaal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,draad,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.477.A,Archaeopterix Lithografica,Panamarenko,1940-02-05,,cm,hoogte,30,mixed media,Middelheimmuseum (Antwerpen),rondsculptuur,1940-02-05,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_477_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,30,gemengde media,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,30,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,39,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,77,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,72,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.477.B,Exhibition copy van de Archaeopterix Lithografica,Panamarenko,1940-02-05,,cm,hoogte,30,bakeliet,Middelheimmuseum (Antwerpen),rondsculptuur,1940-02-05,production.period.lref,21ste eeuw (eerste kwart),2001-09,2001-09,http://middelheimmuseum.be/collection/work/id/MID_B_477_B,https://creativecommons.org/publicdomain/zero/1.0/
,,"Clippeleir, Xavier De",,,cm,breedte,30,plexiglas,,exhibition copy,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,30,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.065,L'Ours Blanc,François Pompon,1855-05-09,1933-05-06,cm,hoogte,132,limestone,Middelheimmuseum (Antwerpen),rondsculptuur,1855-05-09,production.period.lref,20th century (first quarter),1920,1922,http://middelheimmuseum.be/collection/work/id/MID_B_065,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,64,kalksteen,,,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,L'ours blanc,,,,cm,diepte,245,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Der Eisbär,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,The polar bear,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De ijsbeer,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.281,Die grosse Ammonit,Rik Poot,1924-03-20,2006-12-15,cm,hoogte,100,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1924-03-20,production.period.lref,20ste eeuw (derde kwart),1968,1969,http://middelheimmuseum.be/collection/work/id/MID_B_281,https://creativecommons.org/publicdomain/zero/1.0/
,The big Ammonite,,,,cm,breedte,200,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,La grande Ammonite,,,,cm,diepte,100,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De grote Ammoniet,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.007,Venus Victrix,Pierre-Auguste Renoir,1841-02-25,1919-12-03,cm,hoogte,183,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1841-02-25,production.period.lref,20th century (first quarter),1914,1914,http://middelheimmuseum.be/collection/work/id/MID_B_007,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,107,brons,,,,,20ste eeuw (eerste kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,80,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.513,Two reclining figures on a Calder base (sculpture for Middelheim),Peter Rogiers,1967,,cm,hoogte,165,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1967,production.period.lref,21ste eeuw (eerste kwart),2006,2017,http://middelheimmuseum.be/collection/work/id/MID_B_513,https://creativecommons.org/publicdomain/zero/1.0/
,,"Van Geert, Jo",,,cm,breedte,245,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,258,steel (alloy),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.288,Odyssey,Tony Rosenthal,1914,,cm,hoogte,203,aluminium,Middelheimmuseum (Antwerpen),sculpture,1914,production.period.lref,20ste eeuw (derde kwart),1968,1968,http://middelheimmuseum.be/collection/work/id/MID_B_288,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,271,paint (coating),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,255,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.BK.00475,Konstruktion,Ulrich Rückriem,1938-09-30,,cm,hoogte,110,iron,Ministerie van de Vlaamse Gemeenschap (Brussel),sculpture,1938-09-30,production.period.lref,20ste eeuw (derde kwart),1967,1967,http://middelheimmuseum.be/collection/work/id/MID_LB_BK_00475,https://creativecommons.org/publicdomain/zero/1.0/
,Construction,,,,cm,breedte,152,ijzer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Construction,,,,cm,diepte,84,paint (coating),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Constructie,,,,,,,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.478.A,Tausend Zungen,Thomas Schütte,1954-11-16,,cm,hoogte,17,ceramic (material),Middelheimmuseum (Antwerpen),environment,1954-11-16,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_478_A,https://creativecommons.org/publicdomain/zero/1.0/
,Thousend tongues,,,,cm,breedte,7,keramisch materiaal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Mille langues,,,,,,,iron,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Duizend tongen,,,,,,,ijzer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,bronze,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.515,Model for Sculpture Zoo,Thomas Schütte,1954-11-16,,cm,hoogte,65,staal (materiaal),Middelheimmuseum (Antwerpen),rondsculptuur,1954-11-16,production.period.lref,21ste eeuw (eerste kwart),2006,2006,http://middelheimmuseum.be/collection/work/id/MID_B_515,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,100,glass (material),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,75,glas (materiaal),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,190,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,101,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,75,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.539.A,Bidon Bleu,Roman Signer,,,cm,hoogte,2000,beton,Middelheimmuseum (Antwerpen),architecturale sculptuur,,production.period.lref,21ste eeuw (eerste kwart),2012,2012,http://middelheimmuseum.be/collection/work/id/MID_B_539_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,600,steel (alloy),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,3700,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.277.B.A,Double progression vert et blanc,Jesús Rafael Soto,1923-06-05,2005-01-19,cm,hoogte,249,iron,Middelheimmuseum (Antwerpen),sculpture,1923-06-05,production.period.lref,20ste eeuw (derde kwart),1969,1969,http://middelheimmuseum.be/collection/work/id/MID_B_277_B_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,589,ijzer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,504,paint (coating),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.BK.11797,Skulptur N° 38,Émile Souply,1933,,cm,hoogte,152,staal (materiaal),Ministerie van de Vlaamse Gemeenschap (Brussel),sculpture,1933,production.period.lref,20ste eeuw (derde kwart),1969,1969,http://middelheimmuseum.be/collection/work/id/MID_LB_BK_11797,https://creativecommons.org/publicdomain/zero/1.0/
,Sculpture N° 38,,,,cm,breedte,380,,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Sculpture N° 38,,,,cm,diepte,328,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Sculptuur N° 38,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.500.A,Born of Landscape Linoleum (Antwerp project summer 1999),Jessica Stockholder,1959,,cm,breedte,840,beton,Middelheimmuseum (Antwerpen),sculpture,1959,production.period.lref,21ste eeuw (eerste kwart),2002,2002,http://middelheimmuseum.be/collection/work/id/MID_B_500_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,1270,nylon,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,metal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,metaal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.BK.07146,Springbrunnen,Olivier Strebelle,1927-01-20,,cm,hoogte,120,ceramic (material),Ministerie van de Vlaamse Gemeenschap (Brussel),sculpture,1927-01-20,production.period.lref,20ste eeuw (derde kwart),1951,,http://middelheimmuseum.be/collection/work/id/MID_LB_BK_07146,https://creativecommons.org/publicdomain/zero/1.0/
,Fountain,,,,cm,breedte,185,keramisch materiaal,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fontaine,,,,cm,diepte,185,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fontein,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.498,"Musterhäuser, Typ ""Bomarzo"", 1979/94/2001 - Modelhäuser typ Bomarzo",Timm Ulrichs,1940-03-31,,cm,hoogte,350,beton,Middelheimmuseum (Antwerpen),constructie (beeldhouwwerk),1940-03-31,production.period.lref,21ste eeuw (eerste kwart),2001,2001,http://middelheimmuseum.be/collection/work/id/MID_B_498,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,300,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,450,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.469,Zuilenpaviljoen,Charles Vandenhove,1927-07-03,,cm,hoogte,321,granite,Middelheimmuseum (Antwerpen),architecturale sculptuur,1927-07-03,production.period.lref,20ste eeuw (vierde kwart),1982,1992,http://middelheimmuseum.be/collection/work/id/MID_B_469,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,800,graniet,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,800,arduin,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,360,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,236,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,58,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.270,Professeur,Imre Varga,1923-11-01,,cm,hoogte,163,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1923-11-01,production.period.lref,20ste eeuw (derde kwart),1969,1969,http://middelheimmuseum.be/collection/work/id/MID_B_270,https://creativecommons.org/publicdomain/zero/1.0/
,Professor,,,,cm,breedte,165,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,120,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.479,Platz,Didier Vermeiren,1951,,cm,hoogte,192,sandstone,Middelheimmuseum (Antwerpen),beeldengroep,1951,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_479,https://creativecommons.org/publicdomain/zero/1.0/
,Place,,,,cm,breedte,650,zandsteen,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Place,,,,cm,diepte,650,bronze,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Plaats,,,,,,,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Place,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.486,Morgen is alles anders,Henk Visch,1950-09-18,,cm,hoogte,140,polyester,Middelheimmuseum (Antwerpen),beeldengroep,1950-09-18,production.period.lref,20ste eeuw (vierde kwart),1993,1996,http://middelheimmuseum.be/collection/work/id/MID_B_486,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,100,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.484,"IJZER & GOUD IN DE LUCHT
STUIFMEEL & ROOK OP DE GROND
IRON & GOLD IN THE AIR
DUST & SMOKE ON THE GROUND",Lawrence Weiner,1942-02-10,,cm,hoogte,276,LANGUAGE & THE MATERIALS REFERRED TO,Middelheimmuseum (Antwerpen),muurschildering,1942-02-10,production.period.lref,20ste eeuw (vierde kwart),1995,1995,http://middelheimmuseum.be/collection/work/id/MID_B_484,https://creativecommons.org/publicdomain/zero/1.0/
,Wind & De Wilgen,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.216,Der Geflügelte,Friederich Werthmann,1927-10-16,,cm,hoogte,322,roestvrij staal,Middelheimmuseum (Antwerpen),sculpture,1927-10-16,production.period.lref,20ste eeuw (derde kwart),1964,1964,http://middelheimmuseum.be/collection/work/id/MID_B_216,https://creativecommons.org/publicdomain/zero/1.0/
,Winged form,,,,cm,breedte,210,,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,L'ailé,,,,cm,diepte,274,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De gevleugelde,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.493,Sphairos,Franz West,1947-02-16,2012-07-25,cm,hoogte,150,aluminium,Middelheimmuseum (Antwerpen),sculpture,1947-02-16,production.period.lref,20ste eeuw (vierde kwart),1998,1998,http://middelheimmuseum.be/collection/work/id/MID_B_493,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,150,laquer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,150,lak,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.001,Ein Hod,Franz West,1947-02-16,2012-07-25,cm,hoogte,450,epoxyhars,Middelheimmuseum (Antwerpen),sculpture,1947-02-16,production.period.lref,21ste eeuw (eerste kwart),2008,2008,http://middelheimmuseum.be/collection/work/id/MID_LB_001,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,220,plastic,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,220,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,varnish,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
